gml_id,tur,ad,geojson
bursa_park.16,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.95009888,40.227135621],[28.950164997,40.227137392],[28.951547436,40.226140516],[28.951552453,40.226013226],[28.951161221,40.225693954],[28.951061749,40.225691612],[28.949663836,40.226709234],[28.949647785,40.22672917],[28.949646719,40.226752574],[28.949661084,40.226773327],[28.95009888,40.227135621]]]]}"
bursa_park.17,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.961548861,40.219846234],[28.961577171,40.219844012],[28.961718926,40.219796268],[28.961740565,40.219785484],[28.961751877,40.219767854],[28.961746873,40.21974245],[28.961255492,40.218471871],[28.96124577,40.218455376],[28.961228169,40.218444916],[28.961205511,40.218440111],[28.961034988,40.218481797],[28.961015945,40.218491045],[28.961003105,40.218507239],[28.961006589,40.218531377],[28.961510525,40.219810346],[28.961523871,40.219830269],[28.961548861,40.219846234]]]]}"
bursa_park.18,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.960936484,40.218335179],[28.960952797,40.218345456],[28.96097076,40.218349175],[28.961134455,40.218313875],[28.961152328,40.218305796],[28.961161972,40.218294283],[28.961165535,40.218279429],[28.961163445,40.218264741],[28.961031011,40.217924663],[28.960783142,40.217935909],[28.960928416,40.218315808],[28.960936484,40.218335179]]]]}"
bursa_park.19,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.957743258,40.219344999],[28.957526735,40.219422278],[28.957751432,40.219790568],[28.957819611,40.219766156],[28.957840017,40.219601298],[28.957843824,40.21957438],[28.957845174,40.219545296],[28.957841006,40.219518368],[28.957831659,40.219493591],[28.957823009,40.219472333],[28.957743258,40.219344999]]]]}"
bursa_park.20,PARK,YILMAZ AKKILIÇ PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.959477029,40.219999258],[28.959263042,40.219548842],[28.959186337,40.219387379],[28.958716789,40.219514553],[28.958600644,40.219699432],[28.958301112,40.219588916],[28.958256659,40.219493905],[28.95839498,40.219266324],[28.958631783,40.21935207],[28.959108391,40.219223303],[28.959020176,40.219032479],[28.958980166,40.219027842],[28.95894867,40.219034826],[28.958138789,40.219281396],[28.958111378,40.219293214],[28.95808904,40.219310182],[28.958073375,40.219331086],[28.958065506,40.21935443],[28.957997277,40.219793033],[28.957992203,40.219832881],[28.957990641,40.219881136],[28.957996211,40.219931616],[28.95800943,40.219988919],[28.958030381,40.220037664],[28.958165298,40.219990232],[28.958206972,40.22006727],[28.95807203,40.220112496],[28.958396045,40.220694834],[28.959137958,40.220465151],[28.959066063,40.220327176],[28.959272102,40.220263389],[28.959183415,40.220091815],[28.959477029,40.219999258]]]]}"
bursa_park.21,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.930362507,40.214393195],[28.930119465,40.214312754],[28.929748618,40.214183596],[28.929773385,40.214308672],[28.929829255,40.214506673],[28.930362507,40.214393195]]]]}"
bursa_park.22,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.924999975,40.213675661],[28.927038377,40.213551851],[28.927018669,40.213405007],[28.92516928,40.212831452],[28.924999968,40.212882984],[28.924979785,40.212889127],[28.924624512,40.21348208],[28.924673603,40.213613392],[28.924818874,40.213686659],[28.924838955,40.21368544],[28.924830612,40.213604657],[28.924924282,40.213598969],[28.924932625,40.213679753],[28.924999975,40.213675661]]]]}"
bursa_park.23,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.962073957,40.203889148],[28.961781145,40.203851941],[28.961611,40.204519334],[28.961635977,40.204560353],[28.961910334,40.204598835],[28.962073957,40.203889148]]]]}"
bursa_park.24,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.960438518,40.202537092],[28.960261874,40.20252152],[28.960101797,40.203313987],[28.960284186,40.20331576],[28.960438518,40.202537092]]]]}"
bursa_park.25,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.959911335,40.204260775],[28.960089544,40.204294886],[28.96019423,40.203767178],[28.960016179,40.203739738],[28.959911335,40.204260775]]]]}"
bursa_park.26,PARK,KARAMAN PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.000651636,40.214603492],[29.000150735,40.214627131],[28.999734206,40.214621831],[28.999737782,40.214970915],[29.000179391,40.214941547],[29.000494343,40.214915665],[29.000630601,40.214908902],[29.000711759,40.214906735],[29.000695608,40.214860059],[29.000651636,40.214603492]]]]}"
bursa_park.95,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.991950555,40.217389396],[28.991999417,40.217439675],[28.992095066,40.21760183],[28.992224414,40.217497044],[28.992146487,40.21739302],[28.992079318,40.21730819],[28.991950555,40.217389396]]]]}"
bursa_park.27,PARK,MANOLYA PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.982461136,40.217290741],[28.981831432,40.217710472],[28.981631244,40.217837308],[28.9816993,40.217905177],[28.981624638,40.217949006],[28.981813546,40.218097005],[28.982317109,40.218483982],[28.982557509,40.218268346],[28.982047014,40.217876073],[28.982651189,40.217448129],[28.982461136,40.217290741]]]]}"
bursa_park.28,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.986875034,40.208689818],[28.986920452,40.208267993],[28.986675479,40.208235847],[28.986585415,40.208675527],[28.986775096,40.208700127],[28.986875034,40.208689818]]]]}"
bursa_park.29,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.986825467,40.207518071],[28.987181245,40.207572336],[28.987228682,40.207290792],[28.986875456,40.20724036],[28.986825467,40.207518071]]]]}"
bursa_park.30,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.98727138,40.207371764],[28.987755967,40.207428414],[28.988376927,40.20759495],[28.988329627,40.207403172],[28.987866846,40.207349146],[28.987289149,40.207282676],[28.98727138,40.207371764]]]]}"
bursa_park.31,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.968109847,40.210735436],[28.968182256,40.210455515],[28.967594353,40.210390084],[28.967529595,40.210669014],[28.968109847,40.210735436]]]]}"
bursa_park.32,PARK,ORKIDE PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.965868971,40.207365043],[28.965117219,40.207271611],[28.964873835,40.207242329],[28.964542144,40.207229377],[28.964516905,40.207404772],[28.964951652,40.207443475],[28.965275722,40.207472308],[28.966393298,40.207571627],[28.967026324,40.207630205],[28.967034595,40.207474439],[28.966312442,40.207387691],[28.965868971,40.207365043]]]]}"
