gml_id,ust_katego,alt_katego,ad,geojson
bursa_tarihimekanlar.32,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÜÇ KUZULAR TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.057199922,40.178081623]}"
bursa_tarihimekanlar.33,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ESKİŞEHİR HANI,"{""type"":""Point"",""coordinates"":[29.070534108,40.186007716]}"
bursa_tarihimekanlar.34,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KUBBELİ HAN,"{""type"":""Point"",""coordinates"":[29.065627195,40.185893755]}"
bursa_tarihimekanlar.35,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,BEDESTEN,"{""type"":""Point"",""coordinates"":[29.06246307,40.186121334]}"
bursa_tarihimekanlar.36,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,BAKIRCILAR ÇARŞISI,"{""type"":""Point"",""coordinates"":[29.060839419,40.185603274]}"
bursa_tarihimekanlar.37,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÜFTADE TEKKE CAMİİ,"{""type"":""Point"",""coordinates"":[29.054700173,40.179064989]}"
bursa_tarihimekanlar.38,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YILDIRIM MEDRESESİ,"{""type"":""Point"",""coordinates"":[29.082386747,40.18876383]}"
bursa_tarihimekanlar.39,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,SARAYLILAR TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.047483735,40.191887334]}"
bursa_tarihimekanlar.40,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ŞEHZADE AHMET TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.046760626,40.191663961]}"
bursa_tarihimekanlar.41,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GÜLŞAH HATUN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.046106581,40.191223732]}"
bursa_tarihimekanlar.42,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MÜKRİME HATUN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.045989002,40.1913002]}"
bursa_tarihimekanlar.43,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,CEM SULTAN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.046117816,40.191530596]}"
bursa_tarihimekanlar.44,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GÜLRUH HATUN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.045906707,40.191630121]}"
bursa_tarihimekanlar.45,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MOLLA FENARİ CAMİİ,"{""type"":""Point"",""coordinates"":[29.059653567,40.177933523]}"
bursa_tarihimekanlar.46,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MOLLA FENARİ TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.05963451,40.177963866]}"
bursa_tarihimekanlar.47,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,SOMUNCU BABA TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.059321034,40.178707025]}"
bursa_tarihimekanlar.48,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,TEZ VEREN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.058033473,40.180159612]}"
bursa_tarihimekanlar.49,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HÜSNÜ GÜZEL HAMAMI,"{""type"":""Point"",""coordinates"":[29.018003496,40.201741449]}"
bursa_tarihimekanlar.50,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,İSMAİL HAKKI BURSEVİ CAMİİ VE TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.065483738,40.186931909]}"
bursa_tarihimekanlar.51,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,TARİHİ BELEDİYE BİNASI,"{""type"":""Point"",""coordinates"":[29.065104154,40.184749626]}"
bursa_tarihimekanlar.52,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,TOPHANE SURLARI,"{""type"":""Point"",""coordinates"":[29.058224435,40.186449907]}"
bursa_tarihimekanlar.53,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,SÜLEYMAN ÇELEBİ TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.029319353,40.202405469]}"
bursa_tarihimekanlar.54,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ESKİ İPEK HAN,"{""type"":""Point"",""coordinates"":[29.061275784,40.186139513]}"
bursa_tarihimekanlar.55,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,OSMANGAZİ TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.057789987,40.187750716]}"
bursa_tarihimekanlar.56,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GÖKDERE MEDRESESİ,"{""type"":""Point"",""coordinates"":[29.072026538,40.184793628]}"
bursa_tarihimekanlar.57,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GELİNCİK ÇARŞISI,"{""type"":""Point"",""coordinates"":[29.062803767,40.186478519]}"
bursa_tarihimekanlar.58,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,2.MURAT TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.046560621,40.191525309]}"
bursa_tarihimekanlar.59,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,NASUH PAŞA HAMAMI,"{""type"":""Point"",""coordinates"":[29.068690174,40.182437853]}"
bursa_tarihimekanlar.60,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YILDIRIM HAMAMI,"{""type"":""Point"",""coordinates"":[29.081919576,40.187939818]}"
bursa_tarihimekanlar.61,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KEÇELİ HAMAMI,"{""type"":""Point"",""coordinates"":[29.018727967,40.201556523]}"
bursa_tarihimekanlar.62,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YOĞURT HAN,"{""type"":""Point"",""coordinates"":[29.071738946,40.185648066]}"
bursa_tarihimekanlar.63,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YORGANCILAR ÇARŞISI,"{""type"":""Point"",""coordinates"":[29.063069389,40.186043216]}"
bursa_tarihimekanlar.64,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HÜMA HATUN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.04750866,40.191771383]}"
bursa_tarihimekanlar.65,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ŞEHZADE MAHMUT TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.045948502,40.191419001]}"
bursa_tarihimekanlar.66,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KOZA HAN,"{""type"":""Point"",""coordinates"":[29.063880919,40.18531812]}"
bursa_tarihimekanlar.67,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YEŞİL CAMİİ,"{""type"":""Point"",""coordinates"":[29.075184847,40.183035819]}"
bursa_tarihimekanlar.68,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,OKÇU BABA TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.058865811,40.186314244]}"
bursa_tarihimekanlar.69,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KARAMUSTAFA KAPLICASI,"{""type"":""Point"",""coordinates"":[29.038419056,40.200616932]}"
bursa_tarihimekanlar.70,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MURADİYE TÜRBELERİ,"{""type"":""Point"",""coordinates"":[29.046290776,40.191554455]}"
bursa_tarihimekanlar.71,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KAPALIÇARŞI,"{""type"":""Point"",""coordinates"":[29.062516443,40.185769971]}"
bursa_tarihimekanlar.72,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ŞEHZADE MUSTAFA TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.046302702,40.191362353]}"
bursa_tarihimekanlar.73,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,DEMİRTAŞ HAMAMI,"{""type"":""Point"",""coordinates"":[29.071553251,40.189322779]}"
bursa_tarihimekanlar.74,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,1.MURAT TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.021201152,40.203655187]}"
bursa_tarihimekanlar.75,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,MURADİYE MEDRESESİ,"{""type"":""Point"",""coordinates"":[29.046147136,40.192061726]}"
bursa_tarihimekanlar.76,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÇELİK PALAS HAMAMI,"{""type"":""Point"",""coordinates"":[29.03884737,40.197461342]}"
bursa_tarihimekanlar.77,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,GÜLBAHAR HATUN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.045954097,40.191573923]}"
bursa_tarihimekanlar.78,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ŞİRİN HATUN TÜRBESİ,"{""type"":""Point"",""coordinates"":[29.045916978,40.191728491]}"
